,age,weight,height,shoulder_height,arms_reach,leg_length
count,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0
mean,22.196295507770916,71.3042367468597,175.859335746221,147.058484138812,174.64911645731317,105.08260591867149
std,6.026330208325588,14.185204051695274,9.368418224848561,8.950200625018468,11.613725127446456,8.173939413871562
min,12.0,40.0,145.0,114.0,133.0,80.0
25%,19.0,60.0,169.0,140.0,167.0,100.0
50%,21.0,70.0,176.0,147.0,175.0,105.0
75%,22.0,80.0,183.0,153.0,183.0,110.0
max,81.0,121.9,204.0,179.0,212.0,130.0
var,36.31665577977752,201.220013988232,87.76726003567465,80.10609122808098,134.87861133588117,66.81328554164298
mode,19.0,70.0,180.0,150.0,180.0,110.0
IQR,3.0,20.0,14.0,13.0,16.0,10.0
skewness,4.278371582577519,0.5125828766797895,-0.010216187348465813,0.055640314323622306,-0.11513894881620693,0.03825304101346468
kurtosis,23.38879746771398,0.10415291783514169,-0.533873152123872,-0.26699613275146694,-0.21137903879635767,0.056301656977457704
